batch_id,experiment_id,model,sample_id,article_id,target_level,hit_target_final,round,accepted,reason,distance_to_target,best_distance_before,best_distance_after,distance_delta_vs_best_before,improved_this_round,fidelity_overall,fk,fre,ari,coleman_liau,gunning_fog,llm_errors_so_far
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a02b2e23-361b-4959-a980-c4aa8432fcd2,2,false,1,true,accepted_better_distance,0.0825,0.8658,0.0825,-0.7833,true,0.9179,7,60.59,6.6,10.33,5.35,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a02b2e23-361b-4959-a980-c4aa8432fcd2,2,false,2,false,rejected_not_better_regenerate,0.7907,0.0825,0.0825,0.7082,false,0.8814,10.43,35.72,9.97,14.57,6.06,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a02b2e23-361b-4959-a980-c4aa8432fcd2,2,false,2,false,rejected_not_better_regenerate,0.8866,0.0825,0.0825,0.8041,false,0.9379,10.95,34.23,10.64,15.06,6.74,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a02b2e23-361b-4959-a980-c4aa8432fcd2,2,false,2,false,rejected_not_better_regenerate,2.0971,0.0825,0.0825,2.0146,false,0.8414,15.21,10.64,15.64,19.72,10.01,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a02b2e23-361b-4959-a980-c4aa8432fcd2,2,false,3,false,rejected_not_better_regenerate,1.9607,0.0825,0.0825,1.8782,false,0.7293,14.71,13.41,15.11,19.26,9.28,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a02b2e23-361b-4959-a980-c4aa8432fcd2,2,false,3,false,rejected_not_better_regenerate,1.4505,0.0825,0.0825,1.368,false,0.8403,12.94,25.31,13.47,17.41,8.42,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a02b2e23-361b-4959-a980-c4aa8432fcd2,2,false,3,false,rejected_not_better_regenerate,1.5203,0.0825,0.0825,1.4378,false,0.9124,13.57,26.6,14.38,16.98,9.47,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a02b2e23-361b-4959-a980-c4aa8432fcd2,2,false,4,false,rejected_not_better_regenerate,1.5743,0.0825,0.0825,1.4918,false,0.8751,13.87,25.29,14.55,16.94,9.79,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a02b2e23-361b-4959-a980-c4aa8432fcd2,2,false,4,false,rejected_not_better_regenerate,1.594,0.0825,0.0825,1.5115,false,0.8514,13.41,20.66,13.64,17.93,8.83,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a02b2e23-361b-4959-a980-c4aa8432fcd2,2,false,4,false,rejected_not_better_regenerate,0.5874,0.0825,0.0825,0.5049,false,0.8969,9.54,41.63,9.33,13.83,5.39,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a02b2e23-361b-4959-a980-c4aa8432fcd2,2,false,5,false,rejected_not_better_regenerate,1.5497,0.0825,0.0825,1.4672,false,0.8296,13.52,23.61,13.92,17.33,9.16,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a02b2e23-361b-4959-a980-c4aa8432fcd2,2,false,5,false,rejected_not_better_regenerate,1.1213,0.0825,0.0825,1.0388,false,0.9224,11.82,30.05,11.76,16.04,7.71,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a02b2e23-361b-4959-a980-c4aa8432fcd2,2,false,5,false,rejected_not_better_regenerate,1.7101,0.0825,0.0825,1.6276,false,0.8403,13.99,21.44,14.81,18.13,9.21,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,1,false,rejected_not_better_regenerate,1.1488,0.149,0.149,0.9998,false,0.8616,17.36,-4.36,16.83,21.09,12.04,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,1,false,rejected_not_better_regenerate,0.8281,0.149,0.149,0.6791,false,0.8716,15.98,4.6,15.62,19.82,11.26,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,1,false,rejected_not_better_regenerate,1.2173,0.149,0.149,1.0683,false,0.8877,17.9,-4.45,17.57,20.97,13.14,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,2,false,rejected_not_better_regenerate,1.6731,0.149,0.149,1.5241,false,0.8255,19.68,-19.19,18.78,23.03,14.32,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,2,false,rejected_not_better_regenerate,1.6068,0.149,0.149,1.4578,false,0.8095,19.26,-15.88,18.88,23.08,14.04,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,2,false,rejected_not_better_regenerate,0.6545,0.149,0.149,0.5055,false,0.8957,15.32,10.06,15,18.86,10.7,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,3,false,rejected_not_better_regenerate,1.6986,0.149,0.149,1.5496,false,0.8095,19.67,-19.01,19.09,23.39,14.43,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,3,false,rejected_not_better_regenerate,1.0387,0.149,0.149,0.8897,false,0.8696,16.98,-0.73,16.56,20.5,12.1,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,3,false,rejected_not_better_regenerate,1.1645,0.149,0.149,1.0155,false,0.8777,17.58,-3,17.35,20.94,12.76,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,4,false,rejected_not_better_regenerate,1.2847,0.149,0.149,1.1357,false,0.8716,18,-8.1,17.37,21.52,12.95,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,4,false,rejected_not_better_regenerate,1.3955,0.149,0.149,1.2465,false,0.8616,18.55,-9.53,18.22,21.88,13.73,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,4,false,rejected_not_better_regenerate,1.091,0.149,0.149,0.942,false,0.8375,16.99,-1.5,16.91,21.14,12.28,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,5,false,rejected_not_better_regenerate,1.5524,0.149,0.149,1.4034,false,0.8475,18.91,-15.08,18.49,23.05,13.77,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,5,false,rejected_not_better_regenerate,1.4092,0.149,0.149,1.2602,false,0.8275,18.56,-11.06,17.97,21.99,13.25,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,880e78a7-a5a4-47e7-be27-f0eab623c630,4,false,5,false,rejected_not_better_regenerate,1.0297,0.149,0.149,0.8807,false,0.8716,17.07,1,16.91,20.28,12.68,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,03b330f1-7284-4c1f-9c75-446875430c4a,2,false,1,true,accepted_better_distance,0.267,0.7319,0.267,-0.4649,true,0.818,5.48,68.8,5.12,8.73,3.7,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,03b330f1-7284-4c1f-9c75-446875430c4a,2,false,2,false,rejected_not_better_regenerate,1.5476,0.267,0.267,1.2806,false,0.777,13.28,20.92,13.3,17.67,7.78,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,03b330f1-7284-4c1f-9c75-446875430c4a,2,false,2,false,rejected_not_better_regenerate,1.0477,0.267,0.267,0.7807,false,0.838,12.01,34.6,12.12,15.04,7.86,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,03b330f1-7284-4c1f-9c75-446875430c4a,2,false,2,false,rejected_not_better_regenerate,1.3765,0.267,0.267,1.1095,false,0.8786,13.42,28.99,13.69,15.73,8.76,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,03b330f1-7284-4c1f-9c75-446875430c4a,2,false,3,false,rejected_not_better_regenerate,1.5321,0.267,0.267,1.2651,false,0.8584,13.78,25.87,14.31,16.67,9.13,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,03b330f1-7284-4c1f-9c75-446875430c4a,2,false,3,false,rejected_not_better_regenerate,1.2179,0.267,0.267,0.9509,false,0.838,12.8,32.82,13.21,15.3,8.42,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,03b330f1-7284-4c1f-9c75-446875430c4a,2,false,3,false,rejected_not_better_regenerate,0.9212,0.267,0.267,0.6542,false,0.838,11.65,37.86,11.78,14.44,7.69,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,03b330f1-7284-4c1f-9c75-446875430c4a,2,false,4,false,rejected_not_better_regenerate,2.2604,0.267,0.267,1.9934,false,0.7873,15.85,6.16,16.01,20.14,9.71,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,03b330f1-7284-4c1f-9c75-446875430c4a,2,false,4,false,rejected_not_better_regenerate,1.9365,0.267,0.267,1.6695,false,0.8277,14.94,15.3,15.34,18.59,9.34,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,03b330f1-7284-4c1f-9c75-446875430c4a,2,false,4,false,rejected_not_better_regenerate,1.6174,0.267,0.267,1.3504,false,0.8382,14.14,24.87,14.84,16.86,9.29,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,03b330f1-7284-4c1f-9c75-446875430c4a,2,false,5,false,rejected_not_better_regenerate,1.2454,0.267,0.267,0.9784,false,0.8484,12.88,31.28,13.07,15.42,8.3,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,03b330f1-7284-4c1f-9c75-446875430c4a,2,false,5,false,rejected_not_better_regenerate,1.6579,0.267,0.267,1.3909,false,0.8482,13.99,21.53,14.37,17.55,8.92,0
adj_q_small_20260227_172813,ch5_small_adjust_questions_20260227_172813,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,03b330f1-7284-4c1f-9c75-446875430c4a,2,false,5,false,rejected_not_better_regenerate,1.608,0.267,0.267,1.341,false,0.8482,13.82,22.5,14.17,17.35,8.73,0
