batch_id,experiment_id,model,sample_id,article_id,target_level,hit_target_final,round,accepted,reason,distance_to_target,best_distance_before,best_distance_after,distance_delta_vs_best_before,improved_this_round,fidelity_overall,fk,fre,ari,coleman_liau,gunning_fog,llm_errors_so_far
adj_q_small_20260227_153740,ch5_small_adjust_questions_20260227_153740,google/gemini-3-flash-preview,ielts_13_test1_passage1_b1idvj_to_l2,b18ae07e-f799-4f71-9d4d-22e780cf2b98,2,false,1,true,accepted_better_distance,0.3698,0.8658,0.3698,-0.496,true,0.8359,4.81,76.82,4.36,7.46,4.11,0
adj_q_small_20260227_153740,ch5_small_adjust_questions_20260227_153740,google/gemini-3-flash-preview,ielts_13_test1_passage1_b1idvj_to_l2,b18ae07e-f799-4f71-9d4d-22e780cf2b98,2,false,2,false,rejected_not_better,1.1009,0.3698,0.3698,0.7311,false,0.8048,12.13,31.88,11.94,15.32,8.47,0
adj_q_small_20260227_153740,ch5_small_adjust_questions_20260227_153740,google/gemini-3-flash-preview,ielts_13_test1_passage1_b1idvj_to_l2,b18ae07e-f799-4f71-9d4d-22e780cf2b98,2,false,3,false,rejected_not_better,0.8479,0.3698,0.3698,0.4781,false,0.8148,11.21,38.07,11.2,14.49,7.9,0
adj_q_small_20260227_153740,ch5_small_adjust_questions_20260227_153740,google/gemini-3-flash-preview,ielts_13_test1_passage1_b1idvj_to_l2,b18ae07e-f799-4f71-9d4d-22e780cf2b98,2,false,4,false,rejected_not_better,0.8511,0.3698,0.3698,0.4813,false,0.8403,11.35,37.94,11.19,14.25,8.25,0
adj_q_small_20260227_153740,ch5_small_adjust_questions_20260227_153740,google/gemini-3-flash-preview,ielts_13_test1_passage1_b1idvj_to_l2,b18ae07e-f799-4f71-9d4d-22e780cf2b98,2,false,5,false,rejected_not_better,1.1582,0.3698,0.3698,0.7884,false,0.8148,12.24,29.65,11.93,15.66,8.28,0
adj_q_small_20260227_153740,ch5_small_adjust_questions_20260227_153740,google/gemini-3-flash-preview,ielts_13_test1_passage1_b1idvj_to_l4,eb8dcf93-2340-4c69-89c3-4c17114988dd,4,false,1,false,rejected_not_better,1.0045,0.0185,0.0185,0.986,false,0.8459,17.12,3.66,17.34,19.94,12.44,0
adj_q_small_20260227_153740,ch5_small_adjust_questions_20260227_153740,google/gemini-3-flash-preview,ielts_13_test1_passage1_b1idvj_to_l4,eb8dcf93-2340-4c69-89c3-4c17114988dd,4,false,2,false,rejected_not_better,1.2968,0.0185,0.0185,1.2783,false,0.8824,18.68,-2.25,19.11,20.55,13.95,0
adj_q_small_20260227_153740,ch5_small_adjust_questions_20260227_153740,google/gemini-3-flash-preview,ielts_13_test1_passage1_b1idvj_to_l4,eb8dcf93-2340-4c69-89c3-4c17114988dd,4,false,3,false,rejected_not_better,1.045,0.0185,0.0185,1.0265,false,0.9124,17.48,3.55,17.8,19.76,13.01,0
adj_q_small_20260227_153740,ch5_small_adjust_questions_20260227_153740,google/gemini-3-flash-preview,ielts_13_test1_passage1_b1idvj_to_l4,eb8dcf93-2340-4c69-89c3-4c17114988dd,4,false,4,false,rejected_not_better,1.0555,0.0185,0.0185,1.037,false,0.9079,17.61,3.64,17.95,19.65,13.18,0
adj_q_small_20260227_153740,ch5_small_adjust_questions_20260227_153740,google/gemini-3-flash-preview,ielts_13_test1_passage1_b1idvj_to_l4,eb8dcf93-2340-4c69-89c3-4c17114988dd,4,false,5,false,rejected_not_better,1.2289,0.0185,0.0185,1.2104,false,0.8559,18.26,-1.15,18.62,20.51,13.9,0
